25 20
#############
#.k.........#    ########
#...s...s...######......#
#.......................#
#...........######...g..#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #p.#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #..g....#      #......#
  #.......#      #......#
  #########       ######
